KEGG,BIGG
C00458,dctp_c
C00458,dctp_m
C00458,dctp_n
C00881,dcyt_c
C00881,dcyt_e
C00881,dcyt_m
C00881,dcyt_l
C00881,dcyt_n
C00881,dcyt_p
C03221,dd2coa_x
C03221,dd2coa_c
C03221,dd2coa_m
C02679,ddca_p
C02679,ddca_c
C02679,ddca_h
C02679,ddca_e
C02679,ddca_x
C05223,ddcaACP_h
C05223,ddcaACP_c
C05223,ddcaACP_m
C01832,ddcacoa_x
C01832,ddcacoa_c
C01832,ddcacoa_m
C00361,dgdp_c
C00361,dgdp_m
C00361,dgdp_n
C00362,dgmp_p
C00362,dgmp_c
C00362,dgmp_e
C00362,dgmp_m
C00362,dgmp_l
C18870,dgslnt_c
C00330,dgsn_p
C00330,dgsn_c
C00330,dgsn_e
C00330,dgsn_m
C00330,dgsn_l
C00286,dgtp_c
C00286,dgtp_m
C00286,dgtp_n
C00184,dha_p
C00184,dha_c
C00184,dha_e
C00111,dhap_x
C00111,dhap_c
C00111,dhap_f
C00111,dhap_m
C00111,dhap_h
C12623,dhcinnm_c
C00415,dhf_m
C00415,dhf_c
C00415,dhf_e
C00415,dhf_l
C15809,dhgly_c
C03657,dhna_c
C04874,dhnpt_c
C04874,dhnpt_m
C00337,dhor__S_c
C00337,dhor__S_m
C00337,dhor__S_n
C05925,dhpmp_c
C04044,dhpppn_c
C00921,dhpt_c
C00921,dhpt_m
C11838,dhptd_c
C05649,dhptdn_c
C01344,didp_c
C01344,didp_m
C01344,didp_n
C06196,dimp_p
C06196,dimp_c
C06196,dimp_e
C05512,din_p
C05512,din_c
C05512,din_e
C01345,ditp_c
C01345,ditp_m
C01345,ditp_n
C03114,dmbzid_c
C04332,dmlz_h
C04332,dmlz_c
C00235,dmpp_x
C00235,dmpp_c
C00235,dmpp_h
C00580,dms_p
C00580,dms_c
C00580,dms_e
C11143,dmso_p
C11143,dmso_c
C11143,dmso_e
C00857,dnad_h
C00857,dnad_c
C00857,dnad_m
C00857,dnad_n
C00882,dpcoa_c
C00882,dpcoa_m
C00882,dpcoa_l
C02463,dscl_h
C02463,dscl_c
C01909,dtbt_c
C00363,dtdp_c
C00363,dtdp_m
C00363,dtdp_n
C04346,dtdp4addg_c
C11907,dtdp4d6dg_c
C00688,dtdp4d6dm_c
C00842,dtdpglu_c
C03319,dtdprmn_c
C00364,dtmp_p
C00364,dtmp_c
C00364,dtmp_e
C00364,dtmp_m
C00364,dtmp_l
C00459,dttp_m
C00459,dttp_c
C00459,dttp_e
C00459,dttp_n
C01346,dudp_c
C01346,dudp_m
C01346,dudp_n
C00365,dump_p
C00365,dump_c
C00365,dump_e
C00365,dump_m
C00365,dump_n
C00526,duri_p
C00526,duri_c
C00526,duri_e
C00526,duri_m
C00526,duri_n
C00460,dutp_c
C00460,dutp_m
C00460,dutp_n
C06257,dxyl_p
C06257,dxyl_c
C06257,dxyl_e
C11437,dxyl5p_h
C11437,dxyl5p_c
C00279;C03109,e4p_h;e4p_h
C00279;C03109,e4p_c;e4p_c
C00279;C03109,e4p_m;e4p_m
C20374,egmeACP_c
C04666,eig3p_h
C04666,eig3p_c
C05821,enter_p
C05821,enter_c
C05821,enter_e
C20378,epmeACP_c
C00189,etha_p
C00189,etha_c
C00189,etha_e
C00469,etoh_c
C00469,etoh_e
C00469,etoh_h
C00469,etoh_m
C00469,etoh_p
C00469,etoh_x
C00085,f6p_p
C00085,f6p_c
C00085,f6p_e
C00016,fad_x
C00016,fad_c
C00016,fad_r
C00016,fad_m
C00016,fad_h
C01352,fadh2_x
C01352,fadh2_c
C01352,fadh2_r
C01352,fadh2_m
C01352,fadh2_h
C00067,fald_c
C00067,fald_e
C00067,fald_m
C00067,fald_l
C00067,fald_p
C00067,fald_x
C01099,fc1p_c
C01721,fcl__L_c
C00354,fdp_c
C14818,fe2_p
C14818,fe2_c
C14818,fe2_e
C14818,fe2_m
C14818,fe2_h
C14819,fe3_p
C14819,fe3_c
C14819,fe3_e
C14819,fe3_h
C06227,fe3hox_p
C06227,fe3hox_c
C06227,fe3hox_e
C06228,fecrm_p
C06228,fecrm_c
C06228,fecrm_e
C06230,feenter_p
C06230,feenter_c
C06230,feenter_e
C07597,feoxam_p
C07597,feoxam_c
C07597,feoxam_e
C04376,fgam_h
C04376,fgam_c
C04376,fgam_m
C03294,fmettrna_c
C03294,fmettrna_m
C00061,fmn_m
C00061,fmn_c
C00061,fmn_e
C01847,fmnh2_c
C00058,for_c
C00058,for_e
C00058,for_h
C00058,for_m
C00058,for_n
C00058,for_p
C00058,for_r
C00058,for_x
C00798,forcoa_c
C04640,fpram_h
C04640,fpram_c
C04734,fprica_c
C00448,frdp_x
C00448,frdp_c
C00448,frdp_r
C00448,frdp_m
C00448,frdp_h
C00095;C01496;C10906,fru_p;fru_p;fru_p
C00095;C01496;C10906,fru_c;fru_c;fru_c
C00095;C01496;C10906,fru_e;fru_e;fru_e
C16488,frulys_p
C16488,frulys_c
C16488,frulys_e
C00905,fruur_p
C00905,fruur_c
C00905,fruur_e
