,KEGG,Exchange Reaction,BIGG ID,Compound class (level 1),Compound class (level 2),Compound class (level 3),Compound class (level 4)
79,C00258,EX_glyc__R_e,glyc__R_e,,,,
39,C00116,EX_glyc_e,glyc_e,Carbohydrates,Monosaccharides,Sugar alcohols [Fig],C00116  Glycerol
54,C00160,EX_glyclt_e,glyclt_e,,,,
47,C00144,EX_gmp_e,gmp_e,Nucleic acids,Nucleotides [Fig],Ribonucleotides,C00144  GMP
100,C00387,EX_gsn_e,gsn_e,Nucleic acids,Nucleosides [Fig],Ribonucleosides,C00387  Guanosine (G)
17,C00051,EX_gthrd_e,gthrd_e,Vitamins and cofactors,Cofactors,Coenzymes [Fig],C00051  Glutathione
71,C00242,EX_gua_e,gua_e,Nucleic acids,Bases [Fig],Purines,C00242  Guanine (Gua)
76,C00249,EX_hdca_e,hdca_e,Lipids,Fatty acids [Fig],Saturated fatty acids,C00249  Palmitic acid (16:0)
184,C08362,EX_hdcea_e,hdcea_e,Lipids,Fatty acids [Fig],Unsaturated fatty acids,C08362  Palmitoleic acid (16:1;9)
147,C01585,EX_hxa_e,hxa_e,Lipids,Fatty acids [Fig],Saturated fatty acids,C01585  Caproic acid (6:0)
146,C01585,EX_hxa_e,hxa_e,Organic acids,Carboxylic acids [Fig],Monocarboxylic acids,C01585  Capronate; Hexanoate
81,C00262,EX_hxan_e,hxan_e,,,,
119,C00770,EX_idon__L_e,idon__L_e,,,,
43,C00130,EX_imp_e,imp_e,,,,
84,C00294,EX_ins_e,ins_e,,,,
77,C00256,EX_lac__D_e,lac__D_e,,,,
61,C00186,EX_lac__L_e,lac__L_e,Organic acids,Carboxylic acids [Fig],Hydroxycarboxylic acids,C00186  L-Lactate; (S)-2-Hydroxypropanoate
72,C00243,EX_lcts_e,lcts_e,Carbohydrates,Oligosaccharides [Fig],Disaccharides,C00243  Lactose; Milk sugar
142,C01508,EX_lyx__L_e,lyx__L_e,Carbohydrates,Monosaccharides,Aldoses [Fig],C01508  L-Lyxose
107,C00497,EX_mal__D_e,mal__D_e,,,,
50,C00149,EX_mal__L_e,mal__L_e,Organic acids,Carboxylic acids [Fig],Hydroxycarboxylic acids,C00149  Malate; (S)-2-Hydroxybutanediate
67,C00208,EX_malt_e,malt_e,Carbohydrates,Oligosaccharides [Fig],Disaccharides,C00208  Maltose; Malt sugar
152,C01936,EX_malthx_e,malthx_e,,,,
178,C06218,EX_maltpt_e,maltpt_e,,,,
151,C01835,EX_malttr_e,malttr_e,,,,
153,C02013,EX_maltttr_e,maltttr_e,,,,
83,C00275,EX_man6p_e,man6p_e,,,,
53,C00159,EX_man_e,man_e,Carbohydrates,Monosaccharides,Aldoses [Fig],C00159  D-Mannose
187,C11544,EX_manglyc_e,manglyc_e,,,,
171,C05402,EX_melib_e,melib_e,Carbohydrates,Oligosaccharides [Fig],Disaccharides,C05402  Melibiose
101,C00392,EX_mnl_e,mnl_e,Carbohydrates,Monosaccharides,Sugar alcohols [Fig],C00392  Mannitol
1,C00014,EX_nh4_e,nh4_e,,,,
30,C00088,EX_no2_e,no2_e,,,,
73,C00244,EX_no3_e,no3_e,,,,
110,C00533,EX_no_e,no_e,,,,
0,C00007,EX_o2_e,o2_e,,,,
143,C01530,EX_ocdca_e,ocdca_e,Lipids,Fatty acids [Fig],Saturated fatty acids,C01530  Stearic acid (18:0)
117,C00712,EX_ocdcea_e,ocdcea_e,Lipids,Fatty acids [Fig],Unsaturated fatty acids,C00712  Oleic acid (18:1;9)
180,C06423,EX_octa_e,octa_e,Organic acids,Carboxylic acids [Fig],Monocarboxylic acids,C06423  Caprylate; Octanoate
181,C06423,EX_octa_e,octa_e,Lipids,Fatty acids [Fig],Saturated fatty acids,C06423  Caprylic acid (8:0)
26,C00077,EX_orn_e,orn_e,Peptides,Amino acids,Other amino acids [Fig],C00077  L-Ornithine
85,C00295,EX_orot_e,orot_e,,,,
113,C00601,EX_pacald_e,pacald_e,,,,
169,C05332,EX_peamn_e,peamn_e,Peptides,Amines,Biogenic amines [Fig],C05332  Phenethylamine
55,C00163,EX_ppa_e,ppa_e,Organic acids,Carboxylic acids [Fig],Monocarboxylic acids,C00163  Propionate; Propanoate
105,C00479,EX_ppal_e,ppal_e,,,,
173,C05629,EX_pppn_e,pppn_e,,,,
49,C00148,EX_pro__L_e,pro__L_e,Peptides,Amino acids,Common amino acids [Fig],C00148  Proline (Pro)
201,,EX_progly_e,progly_e,,,,
202,,EX_psclys_e,psclys_e,,,,
130,C01005,EX_pser__L_e,pser__L_e,,,,
45,C00134,EX_ptrc_e,ptrc_e,Peptides,Amines,Biogenic amines [Fig],C00134  Putrescine
3,C00022,EX_pyr_e,pyr_e,Organic acids,Carboxylic acids [Fig],2-Oxocarboxylic acids,C00022  Pyruvate; 2-Oxopropanoate
164,C03736,EX_r5p_e,r5p_e,,,,
40,C00121,EX_rib__D_e,rib__D_e,Carbohydrates,Monosaccharides,Aldoses [Fig],C00121  D-Ribose
108,C00507,EX_rmn_e,rmn_e,Carbohydrates,Monosaccharides,Deoxy sugars [Fig],C00507  L-Rhamnose
121,C00794,EX_sbt__D_e,sbt__D_e,Carbohydrates,Monosaccharides,Sugar alcohols [Fig],C00794  Sorbitol
118,C00740,EX_ser__D_e,ser__D_e,Peptides,Amino acids,Other amino acids [Fig],C00740  D-Serine
23,C00065,EX_ser__L_e,ser__L_e,Peptides,Amino acids,Common amino acids [Fig],C00065  Serine (Ser)
13,C00042,EX_succ_e,succ_e,Organic acids,Carboxylic acids [Fig],Dicarboxylic acids,C00042  Succinate
31,C00089,EX_sucr_e,sucr_e,Carbohydrates,Oligosaccharides [Fig],Disaccharides,C00089  Sucrose; Cane sugar
154,C02107,EX_tartr__D_e,tartr__D_e,,,,
126,C00898,EX_tartr__L_e,tartr__L_e,,,,
62,C00188,EX_thr__L_e,thr__L_e,Peptides,Amino acids,Common amino acids [Fig],C00188  Threonine (Thr)
188,C12147,EX_thrp_e,thrp_e,,,,
69,C00214,EX_thymd_e,thymd_e,Nucleic acids,Nucleosides [Fig],Deoxyribonucleosides,C00214  Deoxythymidine (dT)
134,C01104,EX_tmao_e,tmao_e,,,,
133,C01083,EX_tre_e,tre_e,Carbohydrates,Oligosaccharides [Fig],Disaccharides,C01083  Trehalose
27,C00078,EX_trp__L_e,trp__L_e,Peptides,Amino acids,Common amino acids [Fig],C00078  Tryptophan (Trp)
182,C06424,EX_ttdca_e,ttdca_e,Lipids,Fatty acids [Fig],Saturated fatty acids,C06424  Myristic acid (14:0)
183,C06424,EX_ttdcea_e,ttdcea_e,Lipids,Fatty acids [Fig],Saturated fatty acids,C06424  Myristic acid (14:0)
106,C00483,EX_tym_e,tym_e,Peptides,Amines,Biogenic amines [Fig],C00483  Tyramine
14,C00043,EX_uacgam_e,uacgam_e,,,,
65,C00203,EX_udpacgal_e,udpacgal_e,,,,
7,C00029,EX_udpg_e,udpg_e,Vitamins and cofactors,Cofactors,Coenzymes [Fig],C00029  UDP-glucose
18,C00052,EX_udpgal_e,udpgal_e,,,,
57,C00167,EX_udpglcur_e,udpglcur_e,,,,
37,C00105,EX_ump_e,ump_e,Nucleic acids,Nucleotides [Fig],Ribonucleotides,C00105  UMP
38,C00106,EX_ura_e,ura_e,Nucleic acids,Bases [Fig],Pyrimidines,C00106  Uracil (Ura)
86,C00299,EX_uri_e,uri_e,Nucleic acids,Nucleosides [Fig],Ribonucleosides,C00299  Uridine (U)
99,C00385,EX_xan_e,xan_e,,,,
115,C00655,EX_xmp_e,xmp_e,,,,
150,C01762,EX_xtsn_e,xtsn_e,,,,
59,C00181,EX_xyl__D_e,xyl__D_e,Carbohydrates,Monosaccharides,Aldoses [Fig],C00181  D-Xylose
87,C00312,EX_xylu__L_e,xylu__L_e,Carbohydrates,Monosaccharides,Ketoses [Fig],C00312  L-Xylulose
