,NAD/NADP,NAD only
LPLIPAL2E161_reverse_e9be3,0.0,0.0
2AGPE180tipp,0.0,0.0
2AGPE180tipp_reverse_242d6,0.0,0.0
2AGPEAT180,0.0,0.0
2AGPEAT180_reverse_47e42,0.0,0.0
LPLIPAL2ATE180,0.0,0.0
LPLIPAL2ATE180_reverse_cce82,0.0,0.0
LPLIPAL2E180,0.0,0.0
LPLIPAL2E180_reverse_022a8,0.0,0.0
2AGPE181tipp,0.0,0.0
2AGPE181tipp_reverse_a5fc9,0.0,0.0
2AGPEAT181,0.0,0.0
2AGPEAT181_reverse_450ec,0.0,0.0
LPLIPAL2ATE181,0.0,0.0
LPLIPAL2ATE181_reverse_e8332,0.0,0.0
LPLIPAL2E181,0.0,0.0
LPLIPAL2E181_reverse_1c193,0.0,0.0
2AGPG120tipp,0.0,0.0
2AGPG120tipp_reverse_16620,0.0,0.0
2AGPGAT120,0.0,0.0
2AGPGAT120_reverse_83703,0.0,0.0
LPLIPAL2ATG120,0.0,0.0
LPLIPAL2ATG120_reverse_9d5c1,0.0,0.0
LPLIPAL2G120,0.0,0.0
LPLIPAL2G120_reverse_68d19,0.0,0.0
2AGPG140tipp,0.0,0.0
2AGPG140tipp_reverse_2834e,0.0,0.0
2AGPGAT140,0.0,0.0
2AGPGAT140_reverse_94092,0.0,0.0
LPLIPAL2ATG140,0.0,0.0
LPLIPAL2ATG140_reverse_e2a65,0.0,0.0
LPLIPAL2G140,0.0,0.0
LPLIPAL2G140_reverse_780ce,0.0,0.0
2AGPG141tipp,0.0,0.0
2AGPG141tipp_reverse_44e94,0.0,0.0
2AGPGAT141,0.0,0.0
2AGPGAT141_reverse_82d91,0.0,0.0
LPLIPAL2ATG141,0.0,0.0
LPLIPAL2ATG141_reverse_7ddf2,0.0,0.0
LPLIPAL2G141,0.0,0.0
LPLIPAL2G141_reverse_2459e,0.0,0.0
2AGPG160tipp,0.0,0.0
2AGPG160tipp_reverse_a1e99,0.0,0.0
2AGPGAT160,0.0,0.0
2AGPGAT160_reverse_2888d,0.0,0.0
LPLIPAL2ATG160,0.0,0.0
LPLIPAL2ATG160_reverse_8358e,0.0,0.0
LPLIPAL2G160,0.0,0.0
LPLIPAL2G160_reverse_54863,0.0,0.0
2AGPG161tipp,0.0,0.0
2AGPG161tipp_reverse_4c821,0.0,0.0
2AGPGAT161,0.0,0.0
2AGPGAT161_reverse_529fb,0.0,0.0
LPLIPAL2ATG161,0.0,0.0
LPLIPAL2ATG161_reverse_1cac0,0.0,0.0
LPLIPAL2G161,0.0,0.0
LPLIPAL2G161_reverse_9a980,0.0,0.0
2AGPG180tipp,0.0,0.0
2AGPG180tipp_reverse_148cb,0.0,0.0
2AGPGAT180,0.0,0.0
2AGPGAT180_reverse_9d3e5,0.0,0.0
LPLIPAL2ATG180,0.0,0.0
LPLIPAL2ATG180_reverse_d5e49,0.0,0.0
LPLIPAL2G180,0.0,0.0
LPLIPAL2G180_reverse_116f7,0.0,0.0
2AGPG181tipp,0.0,0.0
2AGPG181tipp_reverse_7596e,0.0,0.0
2AGPGAT181,0.0,0.0
2AGPGAT181_reverse_802a9,0.0,0.0
LPLIPAL2ATG181,0.0,0.0
LPLIPAL2ATG181_reverse_0d22a,0.0,0.0
LPLIPAL2G181,0.0,0.0
LPLIPAL2G181_reverse_3cf24,0.0,0.0
ACHBS,0.23657184897880357,0.20461143898980724
ACHBS_reverse_13e5f,0.0,0.0
DSERDHr,0.0,0.0
