,rn,deltaG_prime,deltaG_prime (error),deltaG_prime_m,deltaG_prime_m (error)
164,ALAALAabcpp,-29.144472212600157,0.3042778553577673,-46.25930974732119,0.3042778553577673
165,ADD,-21.05334014233948,1.6001779159660163,-38.16817767706051,1.6001779159660163
166,ADEt2rpp,0.0,0.0,0.0,0.0
167,ADEtex,0.0,0.0,0.0,0.0
168,ADK1,0.26658751522791135,0.15979053483789313,0.26658751522791135,0.15979053483789313
169,ADK3,2.952879211092636,1.334952305546125,2.952879211092636,1.334952305546125
170,ADK4,-1.0402973297958056,1.4606755461744327,-1.0402973297958056,1.4606755461744327
171,ADMDC,-20.63954018354201,3.088253269748143,-37.754377718263044,3.088253269748143
172,ADNCYC,1.054263118764851,0.9894015187129649,-16.060574415956182,0.9894015187129649
173,ADNK1,-14.543717974241986,1.4265768290265641,-14.543717974241986,1.4265768290265641
174,ALAALAr,-27.476758424702346,4.254812433633036,-27.476758424702346,4.254812433633036
175,ALAALAtex,0.0,0.0,0.0,0.0
176,ALAGLUE,0.0,0.0,0.0,0.0
177,ALAR,-0.04097689476429878,1.0061087758890022,-0.04097689476429878,1.0061087758890022
178,ADNUC,-5.984430557232486,1.747763311565981,-23.09926809195352,1.747763311565981
179,ADNt2pp_copy1,0.0,0.0,0.0,0.0
180,ADNt2pp_copy2,0.0,0.0,0.0,0.0
181,ADNtex,0.0,0.0,0.0,0.0
182,ADOCBIK,-30.010700563339583,100000.0,-30.010700563339583,100000.0
183,ADOCBLS,-89.75446108552501,100000.0,-89.75446108552501,100000.0
184,ALATA_D2,1.3835320868241183,2.2574255072800717,1.3835320868241183,2.2574255072800717
185,ALATA_L,0.16396585562017663,0.5312336431378977,0.16396585562017663,0.5312336431378977
186,ALATA_L2,1.342555192060047,2.0273786480762275,1.342555192060047,2.0273786480762275
187,ALAabcpp,-29.144472212600157,0.3042778553577673,-46.25930974732119,0.3042778553577673
188,ALAt2pp_copy1,0.0,0.0,0.0,0.0
189,ADOCBLabcpp,-29.144472212600157,0.3042778553577673,-46.25930974732119,0.3042778553577673
190,ADOCBLtonex,0.0,0.0,0.0,0.0
191,ALAt2pp_copy2,0.0,0.0,0.0,0.0
192,AMALT4,-1.297973149711197,2.248555001172276,-1.297973149711197,2.248555001172276
193,ALAt4pp,0.0,0.0,0.0,0.0
194,ALAtex,0.0,0.0,0.0,0.0
195,ALCD19,-36.68452064760754,2.0065619409512596,-36.68452064760754,2.0065619409512596
196,ALCD2x,18.657243737610543,0.32335205417486834,18.657243737610543,0.32335205417486834
197,ADPRDP,-29.418554027814253,3.3336884631571686,-46.533391562535286,3.3336884631571686
198,ADPT,-21.386043221146252,1.3363553921512565,-21.386043221146252,1.3363553921512565
199,ADSK,-16.880234785103426,5.948700718818412,-16.880234785103426,5.948700718818412
200,ADSL1r,16.209549302203598,1.376970906938032,-0.9052882325174352,1.376970906938032
201,ADSL2r,23.801644800131342,2.9318707537074427,6.686807265410309,2.9318707537074427
202,ADSS,0.50632833702727,2.1328815491438307,0.50632833702727,2.1328815491438307
203,AGDC,-8.508725023257966,3.7768156287362853,-25.623562557979,3.7768156287362853
204,ALDD19xr,-42.19299179811239,1.7048366029048385,-42.19299179811239,1.7048366029048385
205,ALDD2x,-54.4725955169813,1.2902400794969098,-54.4725955169813,1.2902400794969098
206,AMANAPEr,-2.1362527019351774,2.931870753687354,-2.1362527019351774,2.931870753687354
207,ALDD2y,-54.486641319078444,1.315440459716431,-54.486641319078444,1.315440459716431
208,AGM3Pt2pp,0.0,0.0,0.0,0.0
209,ALLK,-10.560711734645736,1.8096673476560998,-10.560711734645736,1.8096673476560998
210,ALLPI,-4.612032880667357,0.8741664681759401,-4.612032880667357,0.8741664681759401
211,ALLTAMH,-21.844705806740222,5.4141274999642235,-73.18921841090332,5.4141274999642235
212,ALLTN,-59.10353162815676,9.555728620226652,-59.10353162815676,9.555728620226652
213,ALLTNt2rpp,0.0,0.0,0.0,0.0
214,AGM4PCP,327.024025237979,62805.91689531349,309.909187703258,62805.91689531349
215,ALLTNtex,0.0,0.0,0.0,0.0
